Country Name,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,Urban population (% of total population),57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748,58.995,59.256
Austria,Urban population,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5110858,5153759,5196085,5238479,5283472,5358240
Austria,Urban population growth (annual %),-0.253173146,-0.158921842,0.511947896,0.919560199,1.112385233,1.44900148,1.4100618,1.020478626,0.835905515,0.817910607,0.812573161,0.855226835,1.405210558
Austria,"Population, total",8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9042528
Austria,Population growth (annual %),0.2403943,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.415176732,0.435671684,0.963774922
Austria,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,0.7,,
Austria,"Prevalence of underweight, weight for age (% of children under 5)",,,,,,,,,,,,,
Austria,"Community health workers (per 1,000 people)",,,,,,,,,,,,,
Austria,"Mortality rate, under-5 (per 1,000 live births)",4.3,4.2,4,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.7,
Austria,"Primary completion rate, total (% of relevant age group)",,100.6218338,96.49848175,98.86142731,97.33966064,99.39652252,97.15097046,98.64917755,97.75398254,99.45897675,97.61239624,99.81651306,
Austria,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.968720019,0.970080018,0.971570015,0.972970009,0.97232002,0.972829998,0.971989989,0.971729994,0.97408998,0.980939984,0.98593998,,
Austria,"Agriculture, forestry, and fishing, value added (% of GDP)",1.267327672,1.401914934,1.34855139,1.254721216,1.200740564,1.129790194,1.110316479,1.210536431,1.130602891,1.05234908,1.085519389,1.212189123,1.307900075
Austria,CPIA public sector management and institutions cluster average (1=low to 6=high),,,,,,,,,,,,,
Austria,Ease of doing business rank (1=most business-friendly regulations),,,,,,,,,,27,,,
Austria,Terrestrial and marine protected areas (% of total territorial area),,,,,,,28.44398259,28.39798166,28.39798166,28.41688362,29.0943193,29.28332963,29.50046673
Austria,Marine protected areas (% of territorial waters),,,,,,,,,,,,,
Austria,Terrestrial protected areas (% of total land area),,,,,,,28.44,28.39798166,28.39798166,28.41688,29.09432,29.28332901,29.5004673
Austria,"Annual freshwater withdrawals, total (% of internal resources)",6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,6.345454545,,
Austria,"Annual freshwater withdrawals, total (billion cubic meters)",3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,,
Austria,Population in urban agglomerations of more than 1 million (% of total population),20.6931173,20.86635478,21.01639254,21.1385898,21.22102098,21.23158518,21.25091625,21.35199668,21.49813342,21.56931594,21.64375278,21.71677183,21.67560886
Austria,Population living in areas where elevation is below 5 meters (% of total population),,,,,,0,,,,,,,
Austria,Urban population living in areas where elevation is below 5 meters (% of total population),,,,,,0,,,,,,,
Austria,Rural population living in areas where elevation is below 5 meters (% of total population),,,,,,0,,,,,,,
Austria,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,,,,
Austria,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,,,,,
Austria,Disaster risk reduction progress score (1-5 scale; 5=best),,,,,,,,,,,,,
Austria,SF6 gas emissions (thousand metric tons of CO2 equivalent),183,,,,,,,,,,,,
Austria,PFC gas emissions (thousand metric tons of CO2 equivalent),236,,,,,,,,,,,,
Austria,Nitrous oxide emissions (% change from 1990),-29.25088694,-28.93629254,-28.66196048,,,,,,,,,,
Austria,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3816.063797,3984.342215,3789.293772,3881.737923,3919.363649,4019.4351,3998.88401,3919.47158,3857.48535,3779.04452,3759.74089,,
Austria,Methane emissions (% change from 1990),-16.33025236,-18.86065556,-20.16577883,,,,,,,,,,
Austria,Methane emissions (kt of CO2 equivalent),8107.730705,7922.195199,7770.628685,7633.338547,7441.51378,7391.89149,7313.564413,7270.289799,7081.285186,6963.743072,6863.078458,,
Austria,HFC gas emissions (thousand metric tons of CO2 equivalent),2835,,,,,,,,,,,,
Austria,Total greenhouse gas emissions (% change from 1990),17.95583858,15.6294744,13.30618653,,,,,,,,,,
Austria,Total greenhouse gas emissions (kt of CO2 equivalent),83550.95772,81738.65126,78292.56689,78909.03381,75143.18762,76429.62374,76780.91177,78699.13623,75582.15688,76622.88544,71017.8287,,
Austria,Other greenhouse gas emissions (% change from 1990),88.2496089,88.2496089,88.2496089,,,,,,,,,,
Austria,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-3482.37793,-4557.252441,-6628.825195,-6344.071289,-6359.189453,-7723.857422,-8604.113281,,,,,,
Austria,CO2 emissions from solid fuel consumption (% of total),18.63901086,19.41194961,18.90664875,19.05724563,18.41485885,19.42377672,17.97344849,,,,,,
Austria,CO2 emissions from solid fuel consumption (kt),13039.852,13252.538,12310.119,12530.139,11415.371,12266.115,11393.369,,,,,,
Austria,CO2 emissions (kg per 2017 PPP $ of GDP),0.161363264,0.152995867,0.144919737,0.146308427,0.137172361,0.138421135,0.136670276,0.138206091,0.129327982,0.130152209,0.127579301,,
Austria,CO2 emissions (kg per PPP $ of GDP),0.199146959,0.183030137,0.166256843,0.161804808,0.148790434,0.146770818,0.138386889,0.138206091,0.125419706,0.121655233,0.115836491,,
Austria,CO2 emissions (metric tons per capita),8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737,,
Austria,CO2 emissions from liquid fuel consumption (% of total),48.30627787,46.93459206,47.62425434,48.13111787,49.16938861,48.93978781,49.39661303,,,,,,
Austria,CO2 emissions from liquid fuel consumption (kt),33795.072,32042.246,31008.152,31646.21,30480.104,30905.476,31312.513,,,,,,
Austria,CO2 emissions (kt),69965.1,68276,65112,65752.7,62054.5,63254.7,63697.1,65867.7,63131.4,64497.8,59142.4,,
Austria,CO2 emissions (kg per 2015 US$ of GDP),0.193047643,0.183037271,0.173375357,0.175036723,0.16410675,0.165600727,0.163506079,0.165343459,0.154722093,0.155708161,0.152630051,,
Austria,CO2 emissions from gaseous fuel consumption (% of total),26.59046741,25.71787901,25.77206573,24.59539163,23.8097677,24.94024545,25.95072093,,,,,,
Austria,CO2 emissions from gaseous fuel consumption (kt),18602.691,17557.596,16780.192,16171.47,14759.675,15749.765,16450.162,,,,,,
Austria,CO2 intensity (kg per kg of oil equivalent energy use),2.064826034,2.074370513,1.987156153,1.978466878,1.92738554,1.922676205,,,,,,,
Austria,Energy use (kg of oil equivalent per capita),4051.19602,3921.900515,3886.767732,3919.044419,3763.327903,3800.29942,,,,,,,
Austria,Electric power consumption (kWh per capita),8382.711154,8425.167753,8548.882199,8509.61158,8355.841952,,,,,,,,
Austria,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",78.14290356,73.74884145,72.92596761,73.94736827,71.09619716,71.87482656,,,,,,,
Austria,Renewable energy consumption (% of total final energy consumption),31.15,31.64,34.37,34.58,35.67,34.82,34.63,33.97,34.08,33.98,35.77,,
Austria,"Electricity production from renewable sources, excluding hydroelectric (% of total)",9.740336209,10.6420221,10.77572406,12.89233153,14.49948065,16.49369364,,,,,,,
Austria,"Electricity production from renewable sources, excluding hydroelectric (kWh)",6617000000,6627000000,7404000000,8322000000,8934000000,10187000000,,,,,,,
Austria,Renewable electricity output (% of total electricity output),66.21132275,65.63142343,74.52918061,78.02478699,81.05686835,76.49077927,,,,,,,
Austria,Electricity production from oil sources (% of total),1.875349604,1.628340185,1.081356426,1.076684741,0.978641911,1.394038502,,,,,,,
Austria,Electricity production from nuclear sources (% of total),0,0,0,0,0,0,,,,,,,
Austria,Electricity production from natural gas sources (% of total),21.12491536,19.97366393,14.13331393,10.3020914,8.772072189,12.60139566,,,,,,,
Austria,Electricity production from hydroelectric sources (% of total),56.47098655,54.98940134,63.75345656,65.13245546,66.55738769,59.99708563,,,,,,,
Austria,Electricity production from coal sources (% of total),9.868401684,11.77896968,9.087469073,9.456235476,7.970332381,8.226608163,,,,,,,
Austria,Access to electricity (% of population),100,100,100,100,100,100,100,100,100,100,100,100,
Austria,"Foreign direct investment, net inflows (% of GDP)",-5.610176315,5.324236737,1.274693933,0.104862186,0.386858115,-2.088056539,-7.310916958,3.23990498,-6.287101585,-2.787548839,-2.680620687,2.566072471,-0.298877447
Austria,Cereal yield (kg per hectare),5903.1,7056.7,6002.9,5846.8,7046.7,6198.1,7246.4,6260.6,6145.8,6954.3,7386.4,7112.4,
Austria,Average precipitation in depth (mm per year),1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,,
Austria,Agricultural irrigated land (% of total agricultural land),0.95279217,,,1.919084082,,,1.430620522,,,,,,
Austria,Forest area (% of land area),46.8153175,46.85891905,46.9025206,46.94612215,46.9897237,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946,47.29447407,
Austria,Forest area (sq. km),38632,38667.98,38703.96,38739.94,38775.92,38811.9,38847.9,38883.8,38919.7,38955.6,38991.5,39027.4,
Austria,Land area where elevation is below 5 meters (% of total land area),,,,,,0,,,,,,,
Austria,Urban land area where elevation is below 5 meters (% of total land area),,,,,,0,,,,,,,
Austria,Urban land area where elevation is below 5 meters (sq. km),,,,,,0,,,,,,,
Austria,Rural land area where elevation is below 5 meters (% of total land area),,,,,,0,,,,,,,
Austria,Rural land area where elevation is below 5 meters (sq. km),,,,,,0,,,,,,,
Austria,Arable land (% of land area),16.52690257,16.47600582,16.42147358,16.40693165,16.38027145,16.31240911,16.29289869,16.10445952,16.08276781,16.06313621,16.05636694,15.99327921,
Austria,Agricultural land (% of land area),33.6791081,33.41371789,33.14590402,32.91808047,32.89142026,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,31.53981338,31.47672564,
Austria,Agricultural land (sq. km),27792,27573,27352,27164,27142,27184.5,26701.7,26546.2,26528.3,26512.1,26026.654,25974.594,
Azerbaijan,Urban population (% of total population),53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397,56.776,57.17
Azerbaijan,Urban population,4835557,4920166,5008847,5098727,5189181,5279540,5368846,5453517,5534464,5616706,5692217,5755809,5817057
Azerbaijan,Urban population growth (annual %),1.595056682,1.734594585,1.786347912,1.778515184,1.758498053,1.726309145,1.677401514,1.56477338,1.473400152,1.47506479,1.335443211,1.110980253,1.058485804
Azerbaijan,"Population, total",9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10175016
Azerbaijan,Population growth (annual %),1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.684365325,0.441197736,0.366922376
Azerbaijan,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),,,,,,,,,,,,,
Azerbaijan,"Prevalence of underweight, weight for age (% of children under 5)",,6.5,,4.9,,,,,,,,,
Azerbaijan,"Community health workers (per 1,000 people)",,,,,,,,,,,,,
Azerbaijan,"Mortality rate, under-5 (per 1,000 live births)",37.3,34.8,32.5,30.3,28.3,26.3,24.5,22.9,21.5,20.4,19.4,18.6,
Azerbaijan,"Primary completion rate, total (% of relevant age group)",89.51445007,92.80683136,91.99118805,88.08940887,98.12570953,103.2802124,111.3019104,107.1721725,100.2199478,100.3833389,98.53372955,96.56355286,99.70327759
Azerbaijan,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,1.002619982,1.010730028,1.005149961,0.993879974,
Azerbaijan,"Agriculture, forestry, and fishing, value added (% of GDP)",5.521252796,5.075649937,5.139769508,5.36626448,5.319406718,6.177454947,5.604946281,5.607369011,5.212505619,5.695258144,6.738947424,5.725983657,4.764552127
Azerbaijan,CPIA public sector management and institutions cluster average (1=low to 6=high),3.1,,,,,,,,,,,,
Azerbaijan,Ease of doing business rank (1=most business-friendly regulations),,,,,,,,,,28,,,
Azerbaijan,Terrestrial and marine protected areas (% of total territorial area),,,,,,,5.518745809,5.519156836,5.519156836,5.519152878,5.519152878,5.519152879,5.519152879
Azerbaijan,Marine protected areas (% of territorial waters),,,,,,,0.436531485,0.436929518,0.436929518,0.436929,0.436929,0.436928868,0.4369289
Azerbaijan,Terrestrial protected areas (% of total land area),,,,,,,10.15,10.15512562,10.15512562,10.15513,10.15513,10.15512562,10.1551256
Azerbaijan,"Annual freshwater withdrawals, total (% of internal resources)",135.1817622,139.1990142,147.5662354,147.8003697,142.8465804,144.0418977,146.3709181,149.3530499,149.9322243,155.1447936,155.1447936,,
Azerbaijan,"Annual freshwater withdrawals, total (billion cubic meters)",10.97,11.296,11.975,11.994,11.592,11.689,11.878,12.12,12.167,12.59,12.59,,
Azerbaijan,Population in urban agglomerations of more than 1 million (% of total population),22.77189527,22.94398982,22.91006331,22.88352488,22.86772873,22.86498114,22.87937091,22.92432956,22.99579135,23.07534614,23.19840414,23.38562304,23.59807591
Azerbaijan,Population living in areas where elevation is below 5 meters (% of total population),,,,,,0,,,,,,,
Azerbaijan,Urban population living in areas where elevation is below 5 meters (% of total population),,,,,,0,,,,,,,
Azerbaijan,Rural population living in areas where elevation is below 5 meters (% of total population),,,,,,0,,,,,,,
Azerbaijan,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,,,,
Azerbaijan,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,,,,,
Azerbaijan,Disaster risk reduction progress score (1-5 scale; 5=best),,,,,,,,,,,,,
Azerbaijan,SF6 gas emissions (thousand metric tons of CO2 equivalent),0,,,,,,,,,,,,
Azerbaijan,PFC gas emissions (thousand metric tons of CO2 equivalent),197,,,,,,,,,,,,
Azerbaijan,Nitrous oxide emissions (% change from 1990),-0.721445682,-0.234040367,0.253364948,,,,,,,,,,
Azerbaijan,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3359.672393,3462.247619,3565.959645,3615.978871,3707.450097,4097.544323,4048.188968,3962.261613,4263.951057,4478.074702,4793.554747,,
Azerbaijan,Methane emissions (% change from 1990),60.58384605,67.36839698,74.15336681,,,,,,,,,,
Azerbaijan,Methane emissions (kt of CO2 equivalent),16320.30747,15694.25806,15793.74864,16100.89423,15912.72982,15854.2904,15762.92403,15381.09765,15705.63377,16038.22239,15733.13101,,
Azerbaijan,HFC gas emissions (thousand metric tons of CO2 equivalent),86,,,,,,,,,,,,
Azerbaijan,Total greenhouse gas emissions (% change from 1990),-35.04895639,-30.87686433,-27.60623717,,,,,,,,,,
Azerbaijan,Total greenhouse gas emissions (kt of CO2 equivalent),44320.75057,46785.0029,49834.23202,51037.92334,52262.55666,52141.63798,52487.77721,51758.38444,53176.47097,56536.8442,55351.99383,,
Azerbaijan,Other greenhouse gas emissions (% change from 1990),354.9096619,354.9096619,354.9096619,,,,,,,,,,
Azerbaijan,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-53.94232178,1115.262085,1882.734253,1679.155273,1716.497192,-1162.831177,-514.2347412,,,,,,
Azerbaijan,CO2 emissions from solid fuel consumption (% of total),0.09110559,0.064198179,0.047685306,0.035046193,0.022476249,0.034196456,0.011227802,,,,,,
Azerbaijan,CO2 emissions from solid fuel consumption (kt),22.002,18.335,14.668,11.001,7.334,11.001,3.667,,,,,,
Azerbaijan,CO2 emissions (kg per 2017 PPP $ of GDP),0.190673703,0.213754674,0.230916026,0.224245359,0.227439361,0.221698034,0.232146795,0.229654004,0.2317196,0.245359736,0.247607387,,
Azerbaijan,CO2 emissions (kg per PPP $ of GDP),0.182924851,0.200893827,0.20298436,0.191144615,0.193853429,0.220424849,0.229904159,0.229654004,0.226279704,0.235377119,0.234473648,,
Azerbaijan,CO2 emissions (metric tons per capita),2.685112496,2.97414762,3.239167347,3.285574369,3.381555622,3.292794814,3.303957895,3.243037648,3.292641249,3.54349533,3.398849573,,
